Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,Sensor x,Sensor y,Sensor z,Sensor qw,Sensor qx,Sensor qy,Sensor qz,Sensor sec,Sensor nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec,Depth,Depth sec,Depth nanosec,Key,Key sec,Key nanosec
1683816518,62600525,63.74250000000001,-120.0,1.1037500000000002,1683816518,28199021,63.74250000000001,0.0,1.1037500000000002,1683816518,28199021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816518,26017488,113.0,1683816517,662019810,32.0,1683816518,25221702
1683816518,662574711,63.74250000000001,-120.0,1.1037500000000002,1683816518,28199021,63.74250000000001,0.0,1.1037500000000002,1683816518,28199021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816518,430032034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816518,626010936,113.0,1683816517,662019810,0,0,0
1683816519,262577043,63.74250000000001,-120.0,1.1037500000000002,1683816519,28417774,63.74250000000001,0.0,1.1037500000000002,1683816519,28417774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816519,30700101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816519,225979193,113.0,1683816518,666933362,0,0,0
1683816519,862609965,63.74250000000001,-120.0,1.1037500000000002,1683816519,28417774,63.74250000000001,0.0,1.1037500000000002,1683816519,28417774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816519,629948931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816519,825976137,113.0,1683816519,664767072,0,0,0
1683816520,462516157,63.74250000000001,-120.0,1.1037500000000002,1683816520,28428094,63.74250000000001,0.0,1.1037500000000002,1683816520,28428094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816520,229993320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816520,425921340,113.0,1683816519,664767072,0,0,0
1683816521,62552641,63.74250000000001,-120.0,1.1037500000000002,1683816521,28297145,63.74250000000001,0.0,1.1037500000000002,1683816521,28297145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816520,829998510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816521,25924917,113.0,1683816520,664126607,0,0,0
1683816521,662586471,63.74250000000001,-120.0,1.1037500000000002,1683816521,28297145,63.74250000000001,0.0,1.1037500000000002,1683816521,28297145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816521,430108299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816521,625880898,113.0,1683816520,664126607,0,0,0
1683816522,262619155,63.74250000000001,-120.0,1.1037500000000002,1683816522,28363788,63.74250000000001,0.0,1.1037500000000002,1683816522,28363788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816522,30081176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816522,225859067,113.0,1683816521,667500734,0,0,0
1683816522,862563029,63.74250000000001,-120.0,1.1037500000000002,1683816522,28363788,63.74250000000001,0.0,1.1037500000000002,1683816522,28363788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816522,630090552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816522,825852410,113.0,1683816522,666866754,0,0,0
1683816523,462592661,63.74250000000001,-120.0,1.1037500000000002,1683816523,28376011,63.74250000000001,0.0,1.1037500000000002,1683816523,28376011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816523,229918035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816523,425802905,113.0,1683816522,666866754,0,0,0
1683816524,62602801,63.74250000000001,-120.0,1.1037500000000002,1683816524,28858457,63.74250000000001,0.0,1.1037500000000002,1683816524,28858457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816523,830015142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816524,25805938,113.0,1683816523,666458791,0,0,0
1683816524,662545737,63.74250000000001,-120.0,1.1037500000000002,1683816524,28858457,63.74250000000001,0.0,1.1037500000000002,1683816524,28858457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816524,430087931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816524,625811323,113.0,1683816523,666458791,0,0,0
1683816525,262522983,63.74250000000001,-120.0,1.1037500000000002,1683816525,28282376,63.74250000000001,0.0,1.1037500000000002,1683816525,28282376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816525,29991763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816525,225753320,113.0,1683816524,669880549,0,0,0
1683816525,862597907,63.74250000000001,-120.0,1.1037500000000002,1683816525,28282376,63.74250000000001,0.0,1.1037500000000002,1683816525,28282376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.74250000000001,-0.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816525,630137118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816525,825736820,121.0,1683816525,669501773,0,0,0
1683816526,462580754,63.74250000000001,-120.0,1.1037500000000002,1683816526,28362864,63.74250000000001,0.0,1.1037500000000002,1683816526,28362864,0.0,0.0,208.0,1.0,0.0,0.0,0.0,1683816526,362675154,63.74250000000001,-208.0,1.1037500000000429,0.7071067811865476,0.7071067811865475,0.0,0.0,1683816526,241183730,63.74250000000001,-8.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816526,241596665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816526,425739784,121.0,1683816525,669501773,0,0,0
1683816527,62546038,63.74250000000001,-120.0,1.1037500000000002,1683816527,35452386,63.74250000000001,0.0,1.1037500000000002,1683816527,35452386,0.0,0.0,208.0,1.0,0.0,0.0,0.0,1683816526,935354409,63.74250000000001,-208.0,1.1037500000000429,0.7071067811865476,0.7071067811865475,0.0,0.0,1683816526,830195362,63.74250000000001,-22.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816526,830809420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816527,25690014,135.0,1683816526,668971547,0,0,0
1683816527,662512596,63.74250000000001,-120.0,1.1037500000000002,1683816527,35452386,63.74250000000001,0.0,1.1037500000000002,1683816527,35452386,0.0,0.0,208.0,1.0,0.0,0.0,0.0,1683816526,935354409,63.74250000000001,-208.0,1.1037500000000429,0.7071067811865476,0.7071067811865475,0.0,0.0,1683816527,429738375,63.74250000000001,-22.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816527,430248222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816527,625645876,135.0,1683816526,668971547,0,0,0
1683816528,262610171,63.74250000000001,-120.0,1.1037500000000002,1683816528,28241452,63.74250000000001,0.0,1.1037500000000002,1683816528,28241452,-0.015921192828592536,-0.12469369047166148,221.99952114419418,0.9999836753005646,0.0056679279436227005,-0.0007236782321248681,-3.875209044463674e-06,1683816527,819811864,63.726578807171414,-221.99952114419418,0.9790563095283553,0.7030874075966637,0.7111030681650883,-0.000508977598738731,-0.0005144579719264423,1683816528,29484209,63.74250000000001,-22.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816528,30156539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816528,225660885,135.0,1683816527,672291510,0,0,0
1683816528,862579901,63.74250000000001,-120.0,1.1037500000000002,1683816528,28241452,63.74250000000001,0.0,1.1037500000000002,1683816528,28241452,-0.01633362094462732,-0.11109817257933888,221.9996206454642,0.999987289178225,0.004986941282342757,-0.0007425277886170223,2.347583076295856e-05,1683816528,425790197,63.72616637905538,-221.99962064546418,0.9926518274206821,0.7035714932801523,0.7106240932763996,-0.0005416463536770236,-0.000508446515424072,1683816528,629828259,63.74250000000001,-22.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816528,630581685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816528,825592788,135.0,1683816528,673397287,0,0,0
1683816529,462471870,63.74250000000001,-120.0,1.1037500000000002,1683816529,28271348,63.74250000000001,0.0,1.1037500000000002,1683816529,28271348,-0.01633362094462732,-0.11109817257933888,221.9996206454642,0.999987289178225,0.004986941282342757,-0.0007425277886170223,2.347583076295856e-05,1683816528,425790197,63.72616637905538,-221.99962064546418,0.9926518274206821,0.7035714932801523,0.7106240932763996,-0.0005416463536770236,-0.000508446515424072,1683816529,229715383,63.74250000000001,-22.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816529,231793697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816529,425605371,135.0,1683816528,673397287,0,0,0
1683816530,62533835,63.74250000000001,-120.0,1.1037500000000002,1683816530,28252454,63.74250000000001,0.0,1.1037500000000002,1683816530,28252454,-0.014260849789260049,-0.10803592347060356,221.99964346773262,0.9999881133719531,0.004832457984008458,-0.0006482746935370956,1.4302315920227073e-05,1683816529,603768885,63.72823915021075,-221.99964346773262,0.9957140765294477,0.7036813122609586,0.7105154398815415,-0.00046851269644557615,-0.00044828616729784625,1683816529,830155709,63.74250000000001,-22.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816529,830808188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816530,25736866,135.0,1683816529,672498934,0,0,0
1683816530,662541859,63.74250000000001,-120.0,1.1037500000000002,1683816530,28252454,63.74250000000001,0.0,1.1037500000000002,1683816530,28252454,-0.009227521179273912,-0.10341832434676182,221.99967733118382,0.9999893245710335,0.004601610605378977,-0.0004194266064325996,-2.2641845309555513e-06,1683816530,267624034,63.73327247882073,-221.99967733118382,1.0003316756532663,0.7038454024548899,0.7103530625817766,-0.000294978377382856,-0.0002981804178542487,1683816530,429939416,63.74250000000001,-22.0,1.1037500000000002,1.0,0.0,0.0,0.0,1683816530,430631824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374250000000001,0.0011037500000000001,1683816530,625554406,135.0,1683816529,672498934,0,0,0
